DESCRIPTION,NAME,GEOMETRY,TYPE
"Wimberley Valley Winery at Driftwood<br>2825 Lone Man Mountain Road, Driftwood TX 78619<br>(512) 847-2592<br><br>Wimberley Valley Wines Inc., Owner<br><br>Website: www.wimberleyvalleywinery.com (http://www.wimberleyvalleywinery.com/)",Wimberley Valley Winery at Driftwood,"<Point><coordinates>-98.054331,30.095182,0.0</coordinates></Point>",Winery
"Woodrose Winery<br>662 Woodrose Lane, Stonewall TX 78671<br>(830) 644-2539<br><br>Mike Guilette, Owner<br><br>Website: www.woodrosewinery.com (http://www.woodrosewinery.com/)",Woodrose Winery,"<Point><coordinates>-98.655468,30.224921,0.0</coordinates></Point>",Winery
"Barking Rocks Winery & Vineyard<br>1919 Allen Court, Granbury TX 76048<br>(817) 579-0007<br><br>Sissy Andrews, Tiberia, Owners<br><br>Website: www.barkingrockswine.com (http://www.barkingrockswine.com/)",Barking Rocks Winery & Vineyard,"<Point><coordinates>-97.806115,32.471578,0.0</coordinates></Point>",Winery
"Bluff Dale Vineyards<br>5222 County Road 148, Bluff Dale TX 76433<br>P.O. Box 110, Bluff Dale TX 76433<br>(254) 728-3540<br>Fax: (254) 728-3541<br><br>Theresa Hayes, Owner<br><br>Website: www.bluffdalevineyards.com (http://www.bluffdalevineyards.com/)",Bluff Dale Vineyards,"<Point><coordinates>-98.022125,32.380668,0.0</coordinates></Point>",Winery
"Brushy Creek Vineyards and Winery<br>572 County Road 2798, Alvord TX 76225<br>(50 miles NW of Fort Worth on CR 2798 at US 287/81 between Decatur and Bowie, Texas.)<br>(940) 427-4747<br>Cell: (817) 821-0175<br><br>Les Constable, Owner<br><br>Website: www.brushycreekvineyards.com (http://www.brushycreekvineyards.com/)",Brushy Creek Vineyards & Winery,"<Point><coordinates>-97.706279,33.394144,0.0</coordinates></Point>",Winery
"Carmela Winery<br>(This is the winery location.)<br>Tasting Room: 120 North Preston Road, Suite 10, Prosper, TX 75078<br>Winery: 210 West Broadway, Prosper TX 75078<br>P.O. Box 295, Prosper TX 75078<br>(972) 346-2894<br>Fax: (972) 347-2190<br><br>Joseph D. Anselmo, Owner<br><br>Website: www.carmelawinery.net (http://www.carmelawinery.net/)",Carmela Winery,"<Point><coordinates>-96.803974,33.236456,0.0</coordinates></Point>",Winery
"Collin Oaks Winery<br>6874 County Road 398, Princeton TX 75407<br>(214) 504-9701 Fax: (817) 488-7981<br><br>Gary and David Edwards, Owners<br><br>Website: www.collinoakswinery.com (http://www.collinoakswinery.com/)",Collin Oaks Winery,"<Point><coordinates>-96.52952,33.14843,0.0</coordinates></Point>",Winery
"CrossRoads Winery<br>15222 King Road #301, Frisco TX 75034<br>(972) 294-4144 or (214) 725-5646<br>Fax: (972) 899-1295<br><br>Monica and John Otis, Owners<br>John Otis, Winemaker<br><br>Website: www.crwinery.com (http://www.crwinery.com/)",CrossRoads Winery,"<Point><coordinates>-96.910324,33.154687,0.0</coordinates></Point>",Winery
"Cross Timbers Winery<br>805 North Main Street, Grapevine TX 76051<br>(817) 488-6789<br>Fax: (817) 488-7981<br><br>Don Bigbie, Owner<br><br>Website: www.crosstimberswinery.com (http://www.crosstimberswinery.com/)",Cross Timbers Winery,"<Point><coordinates>-97.078159,32.94724,0.0</coordinates></Point>",Winery
"Delaney Vineyards at Grapevine<br>2000 Champagne Boulevard, Grapevine TX 76051<br>(817) 481-5668<br>Fax: (817) 251-8119<br><br>Jerry Delaney, Owner<br><br>Website: www.delaneyvineyards.com (http://www.delaneyvineyards.com/)",Delaney Vineyards at Grapevine,"<Point><coordinates>-97.097249,32.885592,0.0</coordinates></Point>",Winery
"Grayson Hills Winery<br>2815 Ball Road, Whitewright TX 75491<br>(903) 627-0832<br><br>Rick Magers, Owner<br><br>Website: www.graysonhillswinery.com (http://www.graysonhillswinery.com/)",Grayson Hills Winery,"<Point><coordinates>-96.462934,33.493388,0.0</coordinates></Point>",Winery
"Guerra Vineyard & Winery<br>2170 County Road 4110, Pittsburg TX 75686<br>(972) 791-3004<br>Fax: (972) 650-1097<br><br>Mark Arra and Ann Guerra Arra, Owners<br><br>Website: www.guerravineyardandwinery.com (http://www.guerravineyardandwinery.com/)",Guerra Vineyard & Winery,"<Point><coordinates>-94.922469,33.019807,0.0</coordinates></Point>",Winery
"Homestead Winery at Denison<br>Wine Tasting Facility:<br>220 West Main Street, Denison TX 75020<br>(903) 464-0030<br><br>Barbara and Gabe Parker, Owners<br><br>Website: www.homesteadwinery.com (http://www.homesteadwinery.com/)",Homestead Winery at Denison,"<Point><coordinates>-96.537209,33.755343,0.0</coordinates></Point>",Winery
"Homestead Winery at Grapevine<br>Wine Tasting Facility:<br>211 East Worth, Grapevine TX 76051<br>(817) 251-9463<br><br>Barbara and Gabe Parker, Owners<br><br>Website: www.homesteadwinery.com (http://www.homesteadwinery.com/)",Homestead Winery at Grapevine,"<Point><coordinates>-97.076567,32.938047,0.0</coordinates></Point>",Winery
"Homestead Winery at Ivanhoe<br>Production Facility:<br>P.O. Box 35, Ivanhoe TX 75447<br>(903) 583-4281<br>Fax: (903) 583-2024<br><br>Barbara and Gabe Parker, Owners<br><br>Website: www.homesteadwinery.com (http://www.homesteadwinery.com/)",Homestead Winery at Ivanhoe,"<Point><coordinates>-96.163304,33.676531,0.0</coordinates></Point>",Winery
"Inwood Estate Vineyards<br>1350 Manufacturing Street #209, Dallas TX 75207<br>(214) 902-9452 or (214) 679-1907<br>Fax: (214) 902-9452<br><br>Dan and Rose Mary Gatlin, Owners<br><br>Website: www.inwoodwines.com (http://www.inwoodwines.com/)",Inwood Estate Vineyards,"<Point><coordinates>-96.827804,32.797852,0.0</coordinates></Point>",Winery
"Khatter Vineyards<br>4110 Brookwood Drive, Parker TX 75002<br>(972) 516-1940<br><br>Carolyn Khatter, Owner<br><br>Website: www.khattervineyards.com (http://www.khattervineyards.com/)",Khatter Vineyards,"<Point><coordinates>-96.642885,33.056958,0.0</coordinates></Point>",Winery
"Kiepersol Estates Vineyards<br>3933 FM 344 East, Tyler TX 75703<br>(903) 894-8995<br>Fax: (903) 894-7933<br><br>Marnelle Durrett, Owner<br><br>Website: www.kiepersol.com (http://www.kiepersol.com/)",Kiepersol Estates Vineyards,"<Point><coordinates>-95.314705,32.139141,0.0</coordinates></Point>",Winery
"La Bodega Winery<br>Dallas/Fort Worth International Airport<br>Terminal A, Gate A15, Terminal D, Gate D14, DFW Airport TX 75261<br>(972) 574-1440 (A15) or (972) 973-WINE (D14)<br>Fax: (972) 574-4353<br><br>Gina Puente-Brancato, Owner<br><br>Website: www.labodegawinery.com (http://www.labodegawinery.com/)",La Bodega Winery,"<Point><coordinates>-97.048286,32.896211,0.0</coordinates></Point>",Winery
"La Buena Vida Vineyards at Grapevine<br>416 East College Street, Grapevine TX 76051<br>(817) 481-WINE (9463)<br>Fax: (817) 421-3635<br><br>Gina Puente-Brancato, Owner<br><br>Website: www.labuenavida.com (http://www.labuenavida.com/)",La Buena Vida Vineyards at Grapevine,"<Point><coordinates>-97.074273,32.935097,0.0</coordinates></Point>",Winery
"La Buena Vida Vineyards at Springtown<br>650 Vineyard Lane, Springtown TX 76082<br>(817) 220-4366<br><br>Bobby Smith, Owner<br><br>Website: www.labuenavida.com (http://www.labuenavida.com/)",La Buena Vida Vineyards at Springtown,"<Point><coordinates>-97.661337,32.91897,0.0</coordinates></Point>",Winery
"Landon Winery<br>101 North Kentucky Street, McKinney, TX 75069<br>(972) 542-3030<br><br>Bob and Katie Landon, Owners<br><br>Website: www.landonwinery.com (http://www.landonwinery.com/)",Landon Winery,"<Point><coordinates>-96.615886,33.19729,0.0</coordinates></Point>",Winery
"LightCatcher Winery<br>6925 Confederate Park Road/FM1886, Fort Worth TX 76108<br>(817) 237-2626<br>Fax: (817) 237-1629<br><br>Caris and Terry Turpen, Owners<br><br>Website: www.lightcatcher.com (http://www.lightcatcher.com/)",Lightcatcher Winery,"<Point><coordinates>-97.513053,32.823147,0.0</coordinates></Point>",Winery
"Lone Oak Winery<br>2116 FM 731, Burleson, TX 76028<br>(817) 426-6625<br>Fax: (817)426-2334<br><br>Gene Estes, Owner<br><br>Website: www.loneoakwinery.com (http://www.loneoakwinery.com/)",Lone Oak Winery,"<Point><coordinates>-97.347214,32.527383,0.0</coordinates></Point>",Winery
"Lone Star Wine Cellars<br>103 East Virginia Street Suite 104, McKinney TX 75069<br>(972) 547-WINE(9463)<br>201 East Franklin Street, Grapevine TX 76051<br>(817) 310-6388<br><br>John Wales and Ron Ross, Owners<br><br>Website: www.lonestarwinecellars.com (http://www.lonestarwinecellars.com/)",Lone Star Wine Cellars,"<Point><coordinates>-96.615688,33.198225,0.0</coordinates></Point>",Winery
"Los Pinos Ranch Vineyards<br>658 County Road 1334, Pittsburg TX 75686<br>(903) 855-1769<br>Fax: (903) 855-1771<br><br>Jeff Sneed, Owner<br><br>Website: www.lospinosranchvineyards.com (http://www.lospinosranchvineyards.com/)",Los Pinos Ranch Vineyards,"<Point><coordinates>-94.979927,32.924031,0.0</coordinates></Point>",Winery
"LouViney Cellars & Bistro<br>111 East Broadway, Winnsboro TX 75494<br>(903) 342-0485<br>Fax: (903) 342-5672<br><br>Susan Jones, Susann Briggs and Nancy Briggs, Owners<br><br>Website: www.louviney.com (http://www.louviney.com/)",LouViney Cellars & Bistro,"<Point><coordinates>-95.290177,32.957302,0.0</coordinates></Point>",Winery
"Maydelle Country Wines<br>175 CR 2108, Rusk TX 75785<br>(903) 795-3915<br><br>Steven Harper, Owner<br><br>Website: www.maydellewines.com (http://www.maydellewines.com/)",Maydelle Country Wines,"<Point><coordinates>-95.265369,31.804789,0.0</coordinates></Point>",Winery
"Paris Vineyards<br>545 County Road 43500, Paris TX 75462<br>(903) 982-7216<br><br>Larry and Denise Dority, Owners<br><br>Website: www.parisvineyards.com (http://www.parisvineyards.com/)",Paris Vineyards,"<Point><coordinates>-95.555275,33.660831,0.0</coordinates></Point>",Winery
"Red Caboose Winery<br>1147 CR 1110, Meridian TX 76665<br>(254) 435-9911 or (254) 415-4843<br>Fax: (214) 435-9910<br><br>Gary McKibben, Owner<br><br>Website: www.redcaboosewinery.com (http://www.redcaboosewinery.com/)",Red Caboose Winery,"<Point><coordinates>-97.61984,31.9544,0.0</coordinates></Point>",Winery
"Red Road Vineyard and Winery<br>105 W Front Street, Naples, Texas 75568<br>(903) 897-9353<br>Fax: (903) 897-0244<br><br>Website: www.redroadvineyard.com (http://www.redroadvineyard.com/)",Red Road Vineyard and Winery,"<Point><coordinates>-94.682193,33.200649,0.0</coordinates></Point>",Winery
"San Martiño Winery and Vineyard<br>12512 Hwy 205 North, Rockwall TX 75087<br>P.O. Box 2229, Rockwall TX 75087<br>(972) 772-6043<br>Fax: (972) 772-1902<br><br>Emilio Ramos and Maria C. Ramos, Owners<br><br>Website: www.sanmartinowinery.com (http://www.sanmartinowinery.com/)",San Martiño Winery and Vineyard,"<Point><coordinates>-96.463863,32.995071,0.0</coordinates></Point>",Winery
"Sunset Winery<br>1535 South Burleson Boulevard, Burleson TX 76028<br>(817) 426-1141<br><br>Birgit and Bruce Anderson, Winemakers<br><br>Website: www.sunsetwinery.com (http://www.sunsetwinery.com/)",Sunset Winery,"<Point><coordinates>-97.301153,32.511727,0.0</coordinates></Point>",Winery
"Su Vino Winery<br>120 South Main Street, Grapevine TX 76051<br>(817) 424-0123 or 1-(877) 4SU-VINO (478-8466)<br>Fax: (817) 416-9441<br><br>David and Chari Scott, Owners<br><br>Website: www.suvinowinery.com (http://www.suvinowinery.com/)",Su Vino Winery,"<Point><coordinates>-97.078663,32.940173,0.0</coordinates></Point>",Winery
"Sweet Dreams Winery<br>2549 Anderson County Road 441, Palestine TX 75803<br>Mailing Address: 904 East Lamar Street, Palestine TX 75801<br>(903) 549-2027<br>Fax: (903) 723-0953<br><br>Mike and Sandra Pell, Owners<br><br>Website: www.sweetdreamswinery.com (http://www.sweetdreamswinery.com/)",Sweet Dreams Winery,"<Point><coordinates>-95.619057,31.891222,0.0</coordinates></Point>",Winery
"Tara Vineyard & Winery<br>8603 CR 3914, Athens TX 75752<br>(903) 675-7023<br><br>Susan Z. Steger & Patrick Pierce, Owners<br><br>Website: www.tarawinery.com (http://www.tarawinery.com/)",Tara Vineyard & Winery,"<Point><coordinates>-95.914249,32.275813,0.0</coordinates></Point>",Winery
"Texoma Winery<br>9 Judge Carr Road, Whitewright TX 75491<br>(903) 364-5242<br>Fax: (903) 364-2207<br><br>Bob White, Owner<br><br>Website: www.texomawinery.com (http://www.texomawinery.com/)",Texoma Winery,"<Point><coordinates>-96.453121,33.553961,0.0</coordinates></Point>",Winery
"Times Ten Cellars<br>6324 Prospect Avenue, Dallas TX 75214<br>(214) 824-9463<br>Fax: (214) 824-9464<br><br>Kert Platner, Rob Wilson and Chris Lawler, Owners<br><br>Website: www.timestencellars.com (http://www.timestencellars.com/)",Times Ten Cellars,"<Point><coordinates>-96.754307,32.815004,0.0</coordinates></Point>",Winery
"Triple “R” Ranch & Winery<br>2276 County Road 125, Whitesboro TX 76243<br>(214) 850-4020<br>Office: 1503 Silverlake Road, McKinney TX 75070<br>(972) 529-0272<br>Fax: (972) 529-9902<br>Ronald R. Ross, Owner<br>Website: www.thetriplerranch.com (http://www.thetriplerranch.com/)",Triple “R” Ranch & Winery,"<Point><coordinates>-96.992311,33.786448,0.0</coordinates></Point>",Winery
"Wales Manor<br>4488 County Road 408, McKinney TX 75069<br>(972) 542-0417<br><br>John Wales, Owner<br><br>Website: www.walesmanor.com (http://www.walesmanor.com/)",Wales Manor,"<Point><coordinates>-96.542574,33.212698,0.0</coordinates></Point>",Winery
"Weinhof Winery<br>16678 FM 455, P.O. Box 250, Forestburg TX 76239<br>(940) 964-2552<br><br>Larry and Brenda Thompson, Owners<br><br>Website: www.weinhofwinery.com (http://www.weinhofwinery.com/)",Weinhof Winery,"<Point><coordinates>-97.559452,33.533239,0.0</coordinates></Point>",Winery
"Wichita Falls Vineyards & Winery<br>3399 Peterson Road South, Iowa Park TX 76367<br>(940) 855-2093<br>Fax: (940) 851-5022<br><br>Lana and Alton Gates, Founders and Operators<br><br>Website: www.wichitafallsvineyardsandwinery.com (http://www.wichitafallsvineyardsandwinery.com/)",Wichita Falls Vineyards & Winery,"<Point><coordinates>-98.62267,33.901208,0.0</coordinates></Point>",Winery
"Bernhardt Winery<br>9043 County Road 204, Plantersville TX 77363<br>(936) 520-8684 or (936) 894-9829<br><br>Jerry and Jerri Bernhardt, Owners<br><br>Website: www.bernhardtwinery.com (http://www.bernhardtwinery.com/)",Bernhardt Winery,"<Point><coordinates>-95.832603,30.345121,0.0</coordinates></Point>",Winery
"Bruno & George Wines<br>400 Messina Road, Sour Lake TX 77659<br>(409) 963-8235 or (409) 898-2829<br>Fax: (409) 985-5414<br><br>Misha and Shawn Bruno, Owners<br><br>Website: www.brunoandgeorge.com (http://www.brunoandgeorge.com/)",Bruno & George Wines,"<Point><coordinates>-94.398103,30.127411,0.0</coordinates></Point>",Winery
"Circle S Vineyards<br>9920 Highway 90A #B-268, Sugar Land TX 77478<br>(281) 265-9463<br>Fax: (281) 325-0631<br><br>Dave Stacy, Owner<br><br>Website: www.circlesvineyards.com (http://www.circlesvineyards.com/)",Circle S Vineyards,"<Point><coordinates>-95.60444,29.624974,0.0</coordinates></Point>",Winery
"Colony Cellars<br>35955 Richard Frey Road, Waller TX 77484<br>(979) 826-3995 or (979) 826-3073<br>Fax: (979) 826-3073<br><br>Oak Tree Ranch Corporation, Don and Ruby Corley, Owners<br><br>Website: www.colonycellars.com (http://www.colonycellars.com/)",Colony Cellars,"<Point><coordinates>-96.018687,29.954187,0.0</coordinates></Point>",Winery
"Frascone Winery<br>311 Bayside Drive, Oak Island TX 77514<br>(409) 252-4506 or (409) 392-7136<br>Fax: (409) 252-4151<br><br>James and Glenda Frascone, Owners<br><br>Website: www.frasconewinery.com (http://www.frasconewinery.com/)",Frascone Winery,"<Point><coordinates>-94.69533,29.659299,0.0</coordinates></Point>",Winery
"Haak Vineyard & Winery Inc.<br>6310 Avenue T, Santa Fe TX 77510<br>(409) 925-1401<br>Fax: (409) 925-0276<br><br>Gladys and Raymond Haak, Owners<br><br>Website: www.haakwine.com (http://www.haakwine.com/)",Haak Vineyard & Winery Inc.,"<Point><coordinates>-95.106565,29.352896,0.0</coordinates></Point>",Winery
"Lehm Berg Winery<br>1266 County Road 208, Giddings TX 78942<br>(979) 542-2726<br>Fax: (979) 542-3804<br><br>Mary Beth Droemer and Carl Droemer, Owners<br><br>Website: www.lehmbergwinery.com (http://www.lehmbergwinery.com/)",Lehm Berg Winery,"<Point><coordinates>-96.979948,30.173688,0.0</coordinates></Point>",Winery
"Messina Hof Winery & Resort<br>4545 Old Reliance Road, Bryan TX 77808<br>(979) 778-9463 ext. 34 or (800) 736-9463 ext. 34<br>Fax: (979) 778-1729<br><br>Paul and Merrill Bonarrigo, Owners<br><br>Website: www.messinahof.com (http://www.messinahof.com/)",Messina Hof Winery & Resort,"<Point><coordinates>-96.323097,30.701881,0.0</coordinates></Point>",Winery
"Piney Woods Country Wines<br>3408 Willow Drive, Orange TX 77632<br>(409) 883-5408<br>Fax: (409) 883-5483<br><br>Alfred J. Flies, Owner<br><br>Website: www.pineywoodswines.com (http://www.pineywoodswines.com/)",Piney Woods Country Wines,"<Point><coordinates>-93.772668,30.124468,0.0</coordinates></Point>",Winery
"Pleasant Hill Winery<br>1441 Salem Road, Brenham TX 77833<br>(979) 830-VINE (8463)<br>Fax: (979) 277-9218<br><br>Jeanne and Bob Cottle, Proprietors<br><br>Website: www.pleasanthillwinery.com (http://www.pleasanthillwinery.com/)",Pleasant Hill Winery,"<Point><coordinates>-96.410811,30.125457,0.0</coordinates></Point>",Winery
"Purple Possum Winery<br>5492 Rabun Lane, Navasota TX 77868<br>(936) 825-2830<br>Fax: (936) 825-2965<br><br>Website: www.purplepossum.com (http://www.purplepossum.com/)",Purple Possum Winery,"<Point><coordinates>-96.06725,30.412793,0.0</coordinates></Point>",Winery
"Rosemary’s Vineyard & Winery<br>5521 Hwy 71 East, La Grange TX 78945<br>(979) 249-2109 or (281) 728-9737<br>Fax: (979) 249-2106<br>Emmett and Beatrice Schulze, Owners<br>Website: None",Rosemary’s Vineyard & Winery,"<Point><coordinates>-96.848251,29.914169,0.0</coordinates></Point>",Winery
"Tehuacana Creek Vineyards & Winery<br>6826 East Hwy 6, Waco TX 76705<br>(254) 875-2375<br><br>Ulf and Inga-Lill Westblom, Owners<br><br>Website: www.wacowinery.com (http://www.wacowinery.com/)",Tehuacana Creek Vineyards & Winery,"<Point><coordinates>-97.019908,31.531548,0.0</coordinates></Point>",Winery
"White House Winery<br>308 N. Main St., Conroe TX 77301<br>Mail: P.O. Box 2882, Conroe TX 77305<br>(281) 702-2850<br><br>Till, Gary and Tanya Hahne, Owners<br><br>Website: www.whitehousewinery.com (http://www.whitehousewinery.com/)",White House Winery,"<Point><coordinates>-95.457017,30.311348,0.0</coordinates></Point>",Winery
"Wimberley Valley Winery at Old Town Spring<br>Tasting Room: 206 Main Street, Old Town Spring TX 77373<br>(281) 350-8801<br>Fax: (281) 288-8298<br><br>Wimberley Valley Wines Inc., Owner<br><br>Website: www.wimberleyvalleywinery.com (http://www.wimberleyvalleywinery.com/)",Wimberley Valley Winery at Old Town Spring,"<Point><coordinates>-95.418884,30.079511,0.0</coordinates></Point>",Winery
"Windy Hill Winery<br>4232 Clover Road, Brenham TX 77833<br>(979) 836-3252<br>Fax: (979) 836-4588<br><br>August and Linda Meitzen, Owners<br><br>Website: www.windyhillwinery.net (http://www.windyhillwinery.net/)",Windy Hill Winery,"<Point><coordinates>-96.360506,30.240254,0.0</coordinates></Point>",Winery
"Yepez Vineyard<br>123739 FM 2354, Baytown TX 77520<br>(281) 573–4139 (979) 836-3252<br><br>David A. Yepez, Owner<br><br>Website: www.yepezvineyard.com (http://www.yepezvineyard.com/)",Yepez Vineyard,"<Point><coordinates>-94.815397,29.858244,0.0</coordinates></Point>",Winery
"Bar Z Wines<br>307 5th Street, Morse TX 79062<br>P.O. Box 121, Morse TX 79062<br>(806) 733-2673 or (806) 733-2552<br>Fax: (806) 733-2165<br><br>Website: www.barzwines.com (http://www.barzwines.com/)",Bar Z Wines,"<Point><coordinates>-101.47822,36.059834,0.0</coordinates></Point>",Winery
"Cap*Rock Winery at Lubbock<br>408 East Woodrow Road, Lubbock TX 79423<br>(806) 863-2704<br>Fax: (806) 863-2712<br><br>Don Roark, President<br><br>Website: www.caprockwinery.com (http://www.caprockwinery.com/)",Cap*Rock Winery at Lubboc,"<Point><coordinates>-101.832304,33.445917,0.0</coordinates></Point>",Winery
"Delaney Vineyards at Lamesa<br>One mile north of Lamesa on Highway 137, Lamesa TX 79331<br>(806) 872-3177<br>Fax: (806) 872-2421<br><br>Ronnie Wilson, Vineyard Manager<br><br>Website: www.delaneyvineyards.com (http://www.delaneyvineyards.com/)",Delaney Vineyards at Lamesa,"<Point><coordinates>-101.973038,32.769955,0.0</coordinates></Point>",Winery
"La Diosa Cellars<br>901 17th Street, Lubbock TX 79401<br>(806) 744-3600<br>Fax: (806) 744-3704<br><br>Sylvia McPherson, Catherine Traxler, Owners<br><br>Website: www.ladiosacellars.com (http://www.ladiosacellars.com/)",La Diosa Cellars,"<Point><coordinates>-101.84439,33.57988,0.0</coordinates></Point>",Winery
"3.2 miles East of US 87 South on FM 1585 in Lubbock, Texas, Lubbock TX 79452<br>(806) 745-2258<br>Fax: (806) 748-1674<br>Sales & Marketing: 1000 South Main, Suite 252, Grapevine TX 76051<br>(817) 329-3890<br>Fax: (817) 421-0919<br><br>Website: www.llanowine.com (http://www.llanowine.com/)",Llano Estacado Winery,"<Point><coordinates>-101.820946,33.478131,0.0</coordinates></Point>",Winery
"Luz de Estrella Vineyards<br>P.O. Box 578, 100 Starlight Lane, East US Hwy 90, Marfa TX 79843<br>(432) 729-3434<br>Fax: (432) 729-1819<br><br>John and Linda Armstrong, Owners<br><br>Website: www.luzdeestrella.com (http://www.luzdeestrella.com/)",Luz de Estrella Vineyards,"<Point><coordinates>-104.020624,30.309412,0.0</coordinates></Point>",Winery
"Pheasant Ridge Winery<br>3507 East County Road 5700, Lubbock TX 79403<br>(806) 746-6033<br>Fax: (806) 746-6750<br><br>William E. Gipson, Owner<br><br>Website: www.pheasantridgewinery.com (http://www.pheasantridgewinery.com/)",Pheasant Ridge Winery,"<Point><coordinates>-101.793446,33.724684,0.0</coordinates></Point>",Winery
"Ste. Genevieve Wines<br>P.O. Box 130, Fort Stockton TX 79735<br>(432) 395-2417<br>Fax: (432) 395-2431<br><br>Mesa Vineyards LP; Patrick Prendergast, President<br><br>Website: None",Ste. Genevieve Wines,"<Point><coordinates>-102.621621,30.825321,0.0</coordinates></Point>",Winery
"Val Verde Winery<br>100 Qualia Drive, Del Rio TX 78840<br>(830) 775-9714<br>Fax: (830) 775-5394<br><br>Thomas M. Qualia, Owner<br><br>Website: www.valverdewinery.com (http://www.valverdewinery.com/)",Val Verde Winery,"<Point><coordinates>-100.895444,29.34637,0.0</coordinates></Point>",Winery
"Zin Valle Vineyards<br>7315 Hwy 28, Canutillo TX 79835<br>(915) 877-4544<br>Fax: (915) 877-2257<br><br>Victor Poulos, Owner<br><br>Website: www.zinvalle.com (http://www.zinvalle.com/)",Zin Valle Vineyards,"<Point><coordinates>-106.626434,31.926524,0.0</coordinates></Point>",Winery
"633 E Davis St<br>Luling, TX 78648<br>(830) 875-9019",City Market,"<Point><coordinates>-97.648365,29.681425,0.0</coordinates></Point>",BBQ Stand
"215 N Main St<br>Lockhart, TX 78644<br>(512) 398-2712<br><br>2003 (not on 2008)",Black's Barbecue,"<Point><coordinates>-97.672801,29.886319,0.0</coordinates></Point>",BBQ Stand
"516 Main St<br>Lexington, TX 78947<br>(979) 773-4640<br>Top 5 2008",Snow's Barbeque,"<Point><coordinates>-97.009747,30.413071,0.0</coordinates></Point>",BBQ Stand
"619 N Colorado St<br>Lockhart, TX 78644<br>(512) 398-2361",Kreuz Market,"<Point><coordinates>-97.670923,29.889648,0.0</coordinates></Point>",BBQ Stand
"1305 Walnut St<br>Abilene, TX 79601<br>(325) 672-4451<br><br>4.5 (2003)",Harold's Pit Barbecue,"<Point><coordinates>-99.730284,32.463541,0.0</coordinates></Point>",BBQ Stand
"500 S Palestine St<br>Athens, TX 75751<br>(903) 677-4226",Cripple Creek BBQ,"<Point><coordinates>-95.853703,32.198362,0.0</coordinates></Point>",BBQ Stand
"401 W 2nd St<br>Austin, TX 78701<br>(512) 494-1500",Lamberts Downtown Barbeque,"<Point><coordinates>-97.747663,30.265302,0.0</coordinates></Point>",BBQ Stand
"100 Red River St<br>Austin, TX 78701<br>(512) 478-4855",Iron Works Barbecue,"<Point><coordinates>-97.738947,30.262214,0.0</coordinates></Point>",BBQ Stand
"2900 Montgomery St<br>Fort Worth, TX 76107<br>(817) 738-9808<br><br><br>4.5 (2003)",Railhead Smokehouse,"<Point><coordinates>-97.370033,32.731742,0.0</coordinates></Point>",BBQ Stand
"5109 Kirby Dr<br>Houston, TX 77098<br>(713) 522-2530",Goode Co Barbeque,"<Point><coordinates>-95.418654,29.727097,0.0</coordinates></Point>",BBQ Stand
"8911 Katy Fwy<br>Houston, TX 77024<br>(713) 464-1901",Goode Co Barbeque,"<Point><coordinates>-95.508312,29.783927,0.0</coordinates></Point>",BBQ Stand
"1020 Live Oak St<br>Houston, TX 77003<br>(713) 228-2262",Thelma's Bar B Que,"<Point><coordinates>-95.351339,29.74855,0.0</coordinates></Point>",BBQ Stand
"1217 Pierce St<br>Houston, TX 77002<br>(713) 659-1245<br><br>Not on TX Monthly's list, but on here for the",Pappas Bar-BQ,"<Point><coordinates>-95.368945,29.748366,0.0</coordinates></Point>",BBQ Stand
"8624 Research Blvd<br>Austin, TX 78758<br>(512) 459-5077",Mann's Smokehouse Bar-BQ,"<Point><coordinates>-97.717738,30.362976,0.0</coordinates></Point>",BBQ Stand
"145 Interstate 10 N<br>Beaumont, TX 77707<br>(409) 832-7770",Willy Ray's BBQ & Catering,"<Point><coordinates>-94.136423,30.081347,0.0</coordinates></Point>",BBQ Stand
"702 E Central Ave<br>Belton, TX 76513<br>(254) 939-1151",Schoepf's Old Time Pit BBQ & Catering,"<Point><coordinates>-97.457342,31.054595,0.0</coordinates></Point>",BBQ Stand
"110 W State Highway 29<br>Bertram, TX 78605<br>(512) 355-2302",Bertram Smoke Haus,"<Point><coordinates>-98.05567,30.744132,0.0</coordinates></Point>",BBQ Stand
"604 N Martin Luther King Dr<br>Clarksville, TX 75426<br>(903) 427-5131<br><br>Honorable Mention (2003)",Coleman Barbecue,"<Point><coordinates>-95.057601,33.614251,0.0</coordinates></Point>",BBQ Stand
"1210 E Loop 304<br>Crockett, TX 75835<br>(936) 544-5193<br><br>Honorable Mention (2003)",Thompson's Barbecue,"<Point><coordinates>-95.436696,31.316429,0.0</coordinates></Point>",BBQ Stand
"2724 Commerce St<br>Dallas, TX 75226<br>(214) 748-5433",Baker's Ribs: Dallas,"<Point><coordinates>-96.783811,32.783074,0.0</coordinates></Point>",BBQ Stand
"208 S Commerce St<br>Lockhart, TX 78644<br>(512) 398-9344",Smitty's Market,"<Point><coordinates>-97.670978,29.883346,0.0</coordinates></Point>",BBQ Stand
"136 Highway 82 W<br>Dickens, TX 79229<br>(806) 623-5260",TC's Ponderosa Grocery & Deli,"<Point><coordinates>-100.849528,33.620649,0.0</coordinates></Point>",BBQ Stand
"507 E Main St<br>Eagle Lake, TX 77434<br>(979) 234-5250",Austin's Barbeque & Catering,"<Point><coordinates>-96.331389,29.585911,0.0</coordinates></Point>",BBQ Stand
